@id,@type,@type,@type,title,description,theme,theme,theme,publisher.name,contactPoint.hasName,distribution.downloadURL,distribution.mediaType,distribution.accessService.parser
:sem_parameters,dcat:Dataset,http://onto-ns.com/meta/characterisation/SEM/0.1/SEM,sem:InstrumentParameters,SEM instrument parameters,"Parameters for selection of high tension, detectors, apertures, beam alignment, etc…",https://w3id.org/emmo/domain/theme/characterisation/SEM,chameo:ScanningElectronMicroscopy,https://he-matchmaker.eu/,MatCHMaker,Sigurd Wenner,,https://www.iana.org/assignments/media-types/text/txt,parser:sem_param
:bse_image,dcat:Dataset,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,sem:BSEImage,BSE image,Back-scattered SEM image of sement sample,https://w3id.org/emmo/domain/theme/characterisation/SEM,chameo:ScanningElectronMicroscopy,https://he-matchmaker.eu/,MatCHMaker,Sigurd Wenner,,https://www.iana.org/assignments/media-types/image/tiff,parser:sem_hitachi
:eds_map,dcat:Dataset,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,sem:EDSMap,EDS map,EDS map of sement sample,https://w3id.org/emmo/domain/theme/characterisation/SEM,chameo:ScanningElectronMicroscopy,https://he-matchmaker.eu/,MatCHMaker,Sigurd Wenner,,https://www.iana.org/assignments/media-types/application/vnd.hitachi,parser:sem_hitachi
:chem_comp_map,dcat:Dataset,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,sem:ChemicalCompositionMap,Chemical composition map,Chemical composition map extracted from EDS map,https://w3id.org/emmo/domain/theme/characterisation/SEM,chameo:ScanningElectronMicroscopy,https://he-matchmaker.eu/,MatCHMaker,Sigurd Wenner,,https://www.iana.org/assignments/media-types/text/csv,parser:sem_hitachi
:clustered_image,dcat:Dataset,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,sem:ClusteredImage,Clustered image,Clustered image,https://w3id.org/emmo/domain/theme/characterisation/SEM,chameo:ScanningElectronMicroscopy,https://he-matchmaker.eu/,MatCHMaker,Geoffrey Daniel,,,
:phase_fractions,dcat:Dataset,http://onto-ns.com/meta/matchmaker/0.1/PhaseFractions,sem:PhaseFractions,Phase fractions,Relative amount of the different phases in the sement,https://w3id.org/emmo/domain/theme/characterisation/SEM,chameo:ScanningElectronMicroscopy,https://he-matchmaker.eu/,MatCHMaker,Geoffrey Daniel,,https://www.iana.org/assignments/media-types/application/vnd.ms-excel,
