@id,@type,name,homepage
https://ror.org/0422tvz87,foaf:Organization,SINTEF Industry,https://www.sintef.no/en/sintef-industry/
https://orcid.org/0000-0002-1560-809X,foaf:Person,Jesper Friis,https://www.sintef.no/en/all-employees/employee/jesper.friis/
